size,name,price,flavor,frosting,sprinkles,filling
regular,Chocolate Delight, 2.99,Chocolate,Chocolate Buttercream,[],Chocolate Ganache
regular,Classic Vanilla,2.99,Vanilla,Vanilla Buttercream,['white'],
regular,Strawberry Bliss,2.99,Strawberry,Cream Cheese,['pink'],Strawberry Jam
regular,Classic Vanilla,2.99,Vanilla,Vanilla Buttercream,['white'],
regular,Classic Vanilla,2.99,Vanilla,Vanilla Buttercream,['white'],
regular,Chocolate Delight, 2.99,Chocolate,Chocolate Buttercream,[],Chocolate Ganache
regular,Classic Vanilla,2.99,Vanilla,Vanilla Buttercream,['white'],
regular,Classic Vanilla,2.99,Vanilla,Vanilla Buttercream,['white'],
regular,Classic Vanilla,2.99,Vanilla,Vanilla Buttercream,['white'],
regular,Classic Vanilla,2.99,Vanilla,Vanilla Buttercream,['white'],
regular,Classic Vanilla,2.99,Vanilla,Vanilla Buttercream,['white'],
regular,Classic Vanilla,2.99,Vanilla,Vanilla Buttercream,['white'],
regular,Classic Vanilla,2.99,Vanilla,Vanilla Buttercream,['white'],
